1	2	3	0
2	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
1	2	3	0
2	2	3	0
3	2	3	0
3	2	3	0
1	2	3	0
2	2	3	0
3	2	3	0
3	2	3	0
1	2	3	0
2	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
3	2	3	0
4	4	5	0
4	28	20	1
1	2	5	1
1	2	5	1
4	0	2	0
5	5	7	0
5	2	6	0
5	2	6	0
5	3	8	0
5	0	5	0
5	10	14	0
5	10	14	0
4	0	2	0
4	0	21	0
3	0	8	0
3	0	60	0
3	0	60	0
6	0	7	0
6	0	62	0
6	0	61	0
3	1	3	0
3	0	32	0
3	0	32	0
1	0	5	0
1	0	40	0
1	0	40	0
3	2	2	0
3	2	2	0
4	10	6	0
4	10	6	0
4	11	7	0
5	5	12	0
5	5	7	0
5	5	7	0
5	7	25	0
5	11	17	0
3	3	17	0
5	7	13	0
5	4	14	0
4	1	2	0
4	1	2	0
2	3	1	1
4	36	24	1
5	4	10	0
4	0	1	0
1	10	6	0
1	11	6	1
